rms_ch1,rms_ch2,mav_ch1,mav_ch2,mse_ch1,mse_ch2,label
0.4986562418155803,0.5038280994170854,0.48416201117318436,0.48646596858638735,0.24865804750163853,0.2538427537622325,index
0.5047748816017845,0.5191834732076949,0.4908100558659217,0.5007068062827225,0.2547976810960956,0.2695514788520052,index
0.5121967497356353,0.5235485600798236,0.4965642458100558,0.5058638743455498,0.2623455104397491,0.27410309476165673,index
0.5189415666066232,0.527098319963102,0.5014245810055866,0.5100785340314136,0.26930034955213633,0.27783263890792465,index
0.5247888255120258,0.518798503548142,0.5057262569832403,0.5025130890052356,0.27540331138229146,0.2691518872837916,index
0.5351221214860372,0.5199816840315599,0.515391061452514,0.5031151832460733,0.28635568490371716,0.2703809517282969,index
0.5439638440647493,0.5202961736649269,0.5254189944134078,0.5044240837696335,0.29589666364969885,0.27070810833036374,index
0.5484518615719919,0.5231512145962351,0.5310055865921788,0.5080366492146597,0.30079944446178336,0.2736871933335161,index
0.5490651039487671,0.5196246718754999,0.5327932960893855,0.5042146596858639,0.30147248837427043,0.2700097996217209,index
0.5626970003784333,0.5135257650634564,0.5454748603351955,0.4996073298429319,0.3166279142348865,0.26370871138400814,index
0.5620587904791924,0.5252788545698841,0.5431284916201117,0.5109424083769634,0.3159100839549327,0.2759178750582495,index
0.5626703071943383,0.515581216269982,0.5428770949720669,0.5033507853403142,0.31659787459817107,0.265823990570434,index
0.5674017746566025,0.5209414217675943,0.5478491620111732,0.5079319371727747,0.3219447738834619,0.2713799649132425,index
0.5598509635062795,0.5171787137823142,0.5413966480446927,0.5037958115183245,0.3134331013389095,0.2674738219895288,index
0.5702342076639652,0.527164816631461,0.5520949720670391,0.5137696335078534,0.32516705159015014,0.27790274389408187,index
0.5633772838725803,0.5281907143941313,0.5444692737430168,0.5146858638743455,0.317393963983646,0.2789854307721828,index
0.5567029996040165,0.5297606019060086,0.5377653631284915,0.5153664921465968,0.30991822976810957,0.28064629533181656,index
0.552415246135926,0.5243171883707392,0.5327374301675977,0.509869109947644,0.3051626041634156,0.2749085140209972,index
0.5594636666217404,0.5258462526316602,0.5391061452513967,0.5117539267015707,0.31299959426984186,0.27651428140675977,index
0.5481323855376125,0.5296226235272449,0.5274301675977654,0.5139267015706807,0.3004491120751538,0.28050012335188174,index
0.5586033491617318,0.5236978222290298,0.5400558659217877,0.5084031413612566,0.3120377016947037,0.2742594090074285,index
0.5664032403614284,0.5298826372143538,0.5477932960893854,0.5133507853403141,0.320812630691926,0.28077560922123845,index
0.5621610915474196,0.5308629442566367,0.5437988826815643,0.5152356020942409,0.3160250928497862,0.281815465584825,index
0.5734506253155468,0.5371095586533212,0.5538268156424581,0.5213874345549738,0.32884561967479164,0.2884866779967655,index
0.560872292536647,0.5405997484700045,0.5420111731843575,0.5242146596858639,0.3145777285353142,0.2922480880458321,index
0.563704937403133,0.5451852094833977,0.5458379888268156,0.5296335078534031,0.31776325645267006,0.2972269126394562,index
0.5588526899625413,0.5538052005029962,0.5401396648044692,0.538062827225131,0.31231632907836837,0.3067002001041638,index
0.5687976007790269,0.5596153330783741,0.5507541899441339,0.5440837696335078,0.32353071065197725,0.31316932101641953,index
0.5602526159371035,0.5642322047408784,0.5424022346368715,0.5473560209424084,0.31388299366436756,0.31835798086675254,index
0.5683851019942671,0.5660147774303337,0.5510335195530726,0.549869109947644,0.3230616241690334,0.3203727282695102,index
0.5683493407475543,0.5680953376949384,0.5510055865921788,0.5519109947643979,0.32302097312817957,0.3227323127107261,index
0.5703385992431039,0.5621134521845507,0.5539385474860334,0.5465706806282723,0.32528611778658595,0.3159715331268331,index
0.5772972004748529,0.5607417224498921,0.5608938547486033,0.5456806282722514,0.3332720576761025,0.31443127929607184,index
0.5718305557166142,0.5672119474965746,0.5574581005586592,0.5520942408376964,0.3269901844511719,0.3217293933828569,index
0.5779287081557903,0.5714978058203806,0.5651396648044692,0.5562303664921466,0.3340015917106207,0.32660974205750937,index
0.5913323375208175,0.5783834586457792,0.5776256983240223,0.5629842931937172,0.349673933397834,0.33452742523505385,index
0.5998389867494909,0.5802744426313649,0.5877653631284916,0.5650785340314137,0.35980681002465587,0.3367184287711411,index
0.5995466984004958,0.579004156193115,0.5869553072625697,0.5632722513089005,0.3594562435629351,0.3352458128889011,index
0.6063892617008446,0.5831752779277025,0.5939664804469272,0.5690837696335079,0.36770793670609536,0.34009340478605304,index
0.5992498405499536,0.5812146798714083,0.5873743016759776,0.5654973821989528,0.3591003713991448,0.3378105040980236,index
